Company Name,Web URL,Country
3i Group PLC,,
3i Infrastructure PLC,,
Aberforth Smaller Companies Trust PLC,,
Abrdn plc (prev Standard Life Aberdeen PLC till 26 Apr 2021),,
Admiral Group PLC,,
AICPA,,United Kingdom
Airtel Africa PLC,,
AJ Bell PLC,,
Alliance Trust PLC,,
Allianz Technology Trust PLC,,
Anglo American PLC,https://www.angloamerican.com/,United Kingdom
Antofagasta PLC,,United Kingdom
Apax Global Alpha,,
Ascential PLC,https://www.ascential.com/,United Kingdom
Ashmore Group PLC,,
Ashtead Group PLC,,United Kingdom
ASOS,,United Kingdom
AstraZeneca PLC,https://www.astrazeneca.co.uk/,United Kingdom
Auction Technology Group PLC,,
Auto Trader Group PLC,,United Kingdom
AVI Global Trust (fka British Empire Trust PLC),,
B&M European Value Retail SA,,
Babcock International Group PLC,,United Kingdom
BAE Systems PLC,https://www.baesystems.com/en/home,United Kingdom
Baillie Gifford Japan Trust PLC,,
Baillie Gifford Shin Nippon PLC,,
Baillie Gifford US Growth Trust PLC,,
Balfour Beatty PLC,,
Baltic Classifieds Group plc,,
Barclays PLC,https://home.barclays/,United Kingdom
Barratt Developments PLC,,United Kingdom
BBGI GLOBAL INFRASTRUCTURE SA (BBGI Sicav SA prior to 10/2020),,
BEIS,,
Berkeley Group Holdings (The) PLC,,United Kingdom
BH Macro,,
Biffa plc,,
Big Yellow Group PLC,,
BLACKROCK SMALLER CO TRUST PLC,,
Blackrock Throgmorton Trust plc,,
BlackRock World Mining Trust,,
BMO Global Smaller Companies PLC,,
Bodycote PLC,,
BP PLC,,
Bridgepoint Group plc,,
Bristol-Myers Squibb,,United Kingdom
British American Tobacco PLC,,
British Land Co PLC,,United Kingdom
BT Group PLC,https://www.bt.com/about,United Kingdom
Bunzl PLC,,United Kingdom
Cabinet Office,,
Cadent,,United Kingdom
Cairn Energy PLC,,
Caledonia Investments PLC,https://www.caledonia.com/,United Kingdom
Capita PLC,,
Capital & Counties Properties PLC,,
Capital Gearing Trust,,
Carnival PLC,,
Centamin PLC,,
Centrica PLC,,United Kingdom
Chemring Group,,
Chevron Corporation,,United Kingdom
Chrysalis Investments,,
Cineworld Group PLC,,
City of London Investment Trust (The) PLC,,
CKI/UK Power Networks Holdings Ltd,,United Kingdom
Clarkson PLC,,
Close Brothers Group PLC,,
CMC Markets,,
Coats Group PLC,,
Coca-Cola HBC AG,,United Kingdom
Cognizant,,
Compass Group PLC,,United Kingdom
Computacenter PLC,,
ContourGlobal PLC,,
ConvaTec Group PLC,https://www.convatecgroup.com/,United Kingdom
Countryside Properties PLC,,
Cranswick PLC,,United Kingdom
Crest Nicholson Holdings PLC,,
CRH PLC,,
Croda International PLC,,United Kingdom
Currys plc (fka Dixons Carphone PLC),,
Darktrace plc,,
DCC PLC,,United Kingdom
Dechra Pharmaceuticals PLC,,United Kingdom
DEFRA - split out from Cabinet Office,,
DENTSU INC.,,
Dept for Int Trade,,
Dept Health (incl. all Trusts),,
Derwent London PLC,,United Kingdom
Diageo PLC,https://www.diageo.com/,United Kingdom
Diploma PLC,,
Direct Line Insurance Group PLC,,
Discoverie Group plc,,
Diversified Energy Company PLC (fka Diversified Gas & Oil PLC),,
Domino's Pizza Group PLC,,
Dr Martens,,
Draper Esprit plc,,
Drax Group PLC,https://www.drax.com/,United Kingdom
Dunelm Group PLC,https://corporate.dunelm.com/,United Kingdom
DWP - split out from Cabinet Office ,,
easyJet PLC,,
Edinburgh Investment Trust (The) PLC,,
Electricite De France,https://www.edf.fr/,United Kingdom
Electrocomponents PLC,,United Kingdom
Elementis PLC,,
Endeavour Mining plc,,
ENTAIN PLC (GVC Holdings PLC prior to 12/2020),,United Kingdom
Essentra PLC,,United Kingdom
Euromoney Institutional Investor PLC,,
European Opportunities Trust plc (the 'Company') (fka Jupiter European Opps Trust PLC),,
Experian PLC,https://www.experianplc.com/,United Kingdom
FCO,,
FDM Group (Holdings) PLC,,
Ferguson PLC,,
Ferrexpo PLC,,
Fidelity Emerging Markets Limited (fka Genesis Emerging Markets Fund Ltd),,
Finsbury Growth & Income Trust PLC,,
FirstGroup PLC,https://www.firstgroupplc.com/,United Kingdom
Flutter Entertainment PLC (fka Paddy Power Betfair PLC),,United Kingdom
Frasers Group PLC (fka Sports Direct International PLC),,
Future PLC,,
Games Workshop Group PLC,,
GCP Infrastructure Investments Ltd,,
Genus PLC,,
GlaxoSmithKline PLC,https://www.gsk.com/en-gb/home/,United Kingdom
Glencore PLC,,United Kingdom
Grafton Group PLC,,
Grainger PLC,,
Great Portland Estates PLC,,
Greencoat UK Wind PLC,,
Greencore Group PLC,,United Kingdom
Greggs PLC,,United Kingdom
Halma PLC,,United Kingdom
Hammerson PLC,,United Kingdom
Hargreaves Lansdown PLC,,
Hays PLC,,United Kingdom
Helios Towers PLC,,
Henderson Smaller Companies Investment Trust PLC,,
Herald Investment Trust PLC,,
HGCapital Trust PLC,,
HICL Infrastructure PLC,,
HIGH SPEED TWO (HS2) LTD,,United Kingdom
Highways England,,United Kingdom
Hikma Pharmaceuticals PLC,,United Kingdom
HILTON FOOD GROUP PLC,,
Hipgnosis Songs Fund Ltd,,
Hiscox Ltd,,
HMRC,,
Home Office,https://www.gov.uk/government/organisations/home-office,United Kingdom
Homeserve PLC,https://www.homeserveplc.com/,United Kingdom
Howden Joinery Group PLC,,
HSBC Holdings PLC,https://www.hsbc.com/,United Kingdom
Iberdrola,,
Ibstock PLC,,
IG Group Holdings,,
IMI PLC,,United Kingdom
Impax Environmental Markets PLC,,
Inchcape PLC,,
Indivior PLC,,
INEOS,,
Informa PLC,https://www.informa.com/,United Kingdom
Infrastructure and Projects Authority (IPA),,
InterContinental Hotels Group PLC,,
International Consolidated Airlines Group SA,,United Kingdom
International Public Partnerships Ltd,,
Intertek Group PLC,https://www.intertek.com/,United Kingdom
IP Group PLC,,
ITV PLC,https://www.itvplc.com/,United Kingdom
IWG PLC,,
Jaguar and Land Rover,https://www.jaguarlandrover.com/,United Kingdom
JD Sports Fashion PLC,,United Kingdom
Johnson and Johnson ,,
Johnson Matthey PLC,https://matthey.com/,United Kingdom
JPMorgan American Investment Trust PLC,,
JPMorgan Emerging Markets Inv Trust PLC,,
JPMorgan Japanese Investment Trust PLC,,
JTC PLC,,
Just Group PLC,,
Kainos Group PLC,,
Kantar,,United Kingdom
Kingfisher PLC,https://www.kingfisher.com/en/index.html,United Kingdom
Kraft Heinz Co,,United Kingdom
Lancashire Holdings Ltd,,
Law Debenture Corp PLC,,
Legal & General Group PLC,https://group.legalandgeneral.com/en,United Kingdom
Liontrust Asset Management PLC,,
Lloyds Banking Group PLC,https://www.lloydsbankinggroup.com/,United Kingdom
LondonMetric Property PLC,,
LPS(Incl. Scottish Gov and all Local Auth),,
LXI Reit PLC,,
M&G plc,https://www.mandgplc.com/,United Kingdom
M&S,,
Man Group PLC,,
Marks & Spencer Group PLC,,
Marshalls PLC,,
Mediclinic International PLC,,
Meggitt PLC,,United Kingdom
Melrose Industries PLC,,United Kingdom
Mercantile Investment Trust (The) PLC,,
MHRA,,
Micro Focus International PLC,,
Mitchells & Butlers PLC,https://www.mbplc.com/,United Kingdom
Mitie Group PLC,,United Kingdom
Mitsubishi Corporation,https://www.mitsubishicorp.com/gb/en/,United Kingdom
MoD,,
MoJ,,
Mondi PLC,,United Kingdom
Moneysupermarket.com Group PLC,,
Moonpig Group PLC,,
Morgan Advanced Materials PLC,,United Kingdom
Mott McDonald,,United Kingdom
Murray Income Trust Plc ,,
Murray International Trust PLC,,
National Express Group PLC,https://www.nationalexpressgroup.com/,United Kingdom
National Grid PLC,https://www.nationalgrid.com/,United Kingdom
Natura,,United Kingdom
NCC Group PLC,,United Kingdom
Network International Holdings Ltd,,
Network Rail (Department for Transport),,United Kingdom
Next PLC,,United Kingdom
Ninety One Plc,,
O2/Virgin Media JV,,United Kingdom
Ocado Group PLC,,United Kingdom
Omron,,United Kingdom
OSB GROUP PLC (Onesavings Bank PLC prior to 11/2020),,
Oxford Biomedica PLC,,
Oxford Instruments PLC,,
Paragon Banking Group PLC,,
Personal Assets Trust PLC,,
Petershill Partners PLC,,
Petropavlovsk PLC,,
Pets At Home Group PLC,https://investors.petsathome.com/,United Kingdom
Pfizer,,United Kingdom
Playtech PLC,,
Plus500 Ltd,https://www.plus500.com/en/,United Kingdom
Polar Capital Technology Trust PLC,,
Polymetal International PLC,,United Kingdom
Premier Foods PLC,https://www.premierfoods.co.uk/,United Kingdom
Primary Health Properties PLC,,
Provident Financial,,
PureTech Health PLC,,
PZ Cussons PLC,https://www.pzcussons.com/,United Kingdom
QinetiQ Group PLC,,
Quilter PLC,,
Rathbone Brothers PLC,,
Reach plc,,
Reckitt Benckiser Group PLC,https://www.reckitt.com/,United Kingdom
Redde Northgate PLC,,
Redrow PLC,,
Renewables Infrastructure Group (The) Ltd,,
Rentokil Initial PLC,,United Kingdom
RHI Magnesita NV,,
Rightmove PLC,,
Rio Tinto PLC,https://www.riotinto.com/en,United Kingdom
Roche Holding,,United Kingdom
Rolls-Royce Holdings PLC,https://www.rolls-royce.com/,United Kingdom
Rotork PLC,,
Royal Mail PLC,,United Kingdom
Safestore Holdings PLC,,
Sanne Group PLC,,
"SaT / PE (CVC, KKR, Bain)",,United Kingdom
Schroder Oriental Income Fund LTD,,
Scottish American Investment Company PLC,,
Scottish Mortgage Investment Trust PLC,,
SDCL Energy Efficiency Income Trust,,
Segro PLC,https://www.segro.com/,United Kingdom
Sequoia Economic Infrastructure Income Fund Ltd,,
Serco Group PLC,,
Severn Trent PLC,,United Kingdom
Sky Group ,,
Smith & Nephew PLC,https://www.smith-nephew.com/uk/,United Kingdom
Smiths Group PLC,,United Kingdom
Smithson Investment Trust PLC,,
Smurfit Kappa Group PLC,,United Kingdom
Spectris PLC,,United Kingdom
Spirax-Sarco Engineering PLC,,United Kingdom
Spirent Communications PLC,,
SSP Group PLC,,United Kingdom
St James's Place PLC,,
Syncona Ltd,,
Synthomer PLC,,
Taylor Wimpey PLC,,United Kingdom
Telecom Plus PLC,,
Tesco PLC,,United Kingdom
Thames Water,,
The Procter & Gamble Company,https://www.pg.co.uk/,United Kingdom
Thomson Reuters,,United Kingdom
TI Fluid Systems PLC,,
TP ICap PLC,,
TR Property Investment Trust PLC,,
Trainline PLC,,
Travis Perkins PLC,,United Kingdom
Tritax Big Box REIT PLC,,
Tritax EuroBox PLC,,
Trustpilot Group PLC,,
TUI AG,,
Tyman PLC,,
UK Commercial Property Reit Ltd,,
Ultra Electronics Holdings PLC,,
Unilever PLC,,
UNITE Group PLC,,
United Utilities Group PLC,,United Kingdom
Upfield,https://upfield.com/,United Kingdom
Vesuvius PLC,,
Victrex PLC,,
Vietnam Enterprise Investments Ltd.,,
Vinacapital Vietnam Opportunity Fund Ltd,,
Vistry Group PLC (fka Bovis Homes Group PLC),,
Vivo Energy PLC,https://www.vivoenergy.com/,United Kingdom
Walgreens Boots,,
Weir Group PLC,,
Wetherspoon (J D) PLC,,
WH Smith PLC,https://www.whsmithplc.co.uk/,United Kingdom
Whitbread PLC,,United Kingdom
Witan Investment Trust PLC,,
Wizz Air Holdings PLC,,
Wood Group (John) PLC,,
Workspace Group PLC,,
Worldwide Healthcare Trust PLC,,
WPP PLC,https://www.wpp.com/,United Kingdom
XP Power Ltd,,
